temp,bpm,red,adc,med,trig,max,min
31.250000,39.438939,11040,8584,8632,0,8792,8632
30.937500,39.438939,11008,8584,8616,0,8776,8616
31.000001,39.438939,11008,8552,8616,0,8768,8616
31.125000,39.438939,10984,8544,8584,0,8744,8584
31.625001,39.438939,10984,8568,8584,0,8736,8584
31.312501,39.438939,10968,8568,8568,0,8728,8568
31.312501,39.438939,10976,8528,8568,0,8720,8568
31.437500,39.438939,10960,8544,8552,0,8720,8552
31.625001,39.438939,10944,8552,8544,0,8712,8544
31.312501,39.438939,10952,8520,8552,0,8704,8544
30.812500,39.438939,10976,8544,8544,0,8680,8544
31.500001,39.438939,10960,8544,8544,0,8664,8544
31.437500,39.438939,10944,8544,8544,0,8664,8544
31.750000,39.438939,10944,8544,8544,0,8664,8544
31.250000,39.438939,10944,8512,8544,0,8664,8544
30.500000,39.438939,10952,8536,8544,0,8664,8544
31.812501,39.438939,10960,8536,8544,0,8664,8544
31.125000,39.438939,10944,8520,8536,0,8640,8536
31.125000,39.438939,10960,8512,8536,0,8640,8536
32.000000,39.438939,10944,8512,8520,0,8640,8520
31.250000,39.438939,10944,8528,8520,0,8632,8520
30.937500,39.438939,10928,8560,8520,0,8616,8520
30.812500,39.438939,10920,8504,8520,0,8616,8520
30.812500,39.438939,10936,8512,8512,0,8584,8512
30.812500,39.438939,10944,8512,8512,0,8584,8512
31.312501,39.438939,10920,8480,8512,0,8568,8512
31.812501,39.438939,10896,8480,8512,0,8568,8512
31.750000,39.438939,10872,8480,8504,0,8552,8504
31.625001,39.438939,10904,8480,8480,0,8552,8480
31.500001,39.438939,10880,8488,8480,0,8552,8480
31.500001,39.438939,10872,8480,8480,0,8544,8480
31.812501,39.438939,10872,8464,8480,0,8544,8480
31.625001,39.438939,10880,8480,8480,0,8544,8480
31.937501,39.438939,10880,8472,8480,0,8544,8480
31.250000,39.438939,10872,8408,8480,0,8544,8480
31.625001,39.438939,10872,8472,8472,0,8544,8472
31.812501,39.438939,10864,8440,8472,0,8544,8472
30.812500,39.438939,10848,8472,8472,0,8536,8472
31.937501,39.438939,10864,8432,8472,0,8536,8472
31.312501,39.438939,10872,8408,8440,0,8520,8440
32.500000,39.438939,10856,8424,8440,0,8520,8440
31.125000,39.438939,10832,8448,8432,0,8520,8432
31.250000,39.438939,10824,8432,8432,0,8520,8432
31.750000,39.438939,10824,8432,8432,0,8512,8432
32.125001,39.438939,10824,8392,8432,0,8512,8432
31.937501,39.438939,10840,8432,8432,0,8512,8432
32.000000,39.438939,10856,8416,8432,0,8512,8432
32.125001,39.438939,10832,8432,8432,0,8504,8432
31.312501,39.438939,10792,8392,8432,0,8480,8432
31.812501,39.438939,10808,8400,8416,0,8480,8416
31.625001,39.438939,10808,8416,8416,0,8480,8416
31.000001,39.438939,10808,8424,8416,0,8480,8416
31.812501,39.438939,10816,8408,8416,0,8480,8416
31.937501,39.438939,10792,8408,8408,0,8480,8408
31.437500,39.438939,10792,8376,8408,0,8480,8408
31.437500,39.438939,10800,8416,8408,0,8472,8408
31.812501,39.438939,10792,8384,8408,0,8472,8408
31.625001,39.438939,10760,8376,8408,0,8472,8408
32.312500,39.438939,10784,8384,8384,0,8472,8384
31.750000,39.438939,10776,8384,8384,0,8440,8384
31.937501,39.438939,10768,8400,8384,0,8440,8384
31.500001,39.438939,10776,8400,8384,0,8432,8384
31.625001,39.438939,10792,8384,8384,0,8432,8384
31.812501,39.438939,10784,8360,8384,0,8432,8384
32.125001,39.438939,10768,8392,8384,0,8432,8384
31.937501,39.438939,10744,8376,8392,0,8432,8384
31.437500,39.438939,10760,8360,8384,0,8432,8384
31.750000,39.438939,10752,8352,8376,0,8432,8376
31.437500,39.438939,10752,8344,8360,0,8432,8360
32.000000,39.438939,10744,8352,8360,0,8416,8360
32.312500,39.438939,10728,8384,8352,0,8416,8352
32.125001,39.438939,10728,8368,8352,0,8416,8352
31.937501,39.438939,10720,8336,8352,0,8416,8352
32.250001,39.438939,10712,8352,8352,0,8408,8352
32.437501,39.438939,10704,8336,8352,0,8408,8352
32.500000,39.438939,10712,8312,8352,0,8408,8352
31.937501,39.438939,10696,8336,8336,0,8408,8336
